age,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,physical_activity_hours_per_week,caffeine_mg,mindfulness_minutes_per_day,mental_health_score,mood_rating,stress_level,uses_wellness_apps,eats_healthy,gender_Male,gender_Other,location_type_Suburban,location_type_Urban,sleep_quality
53,6.8,2.9,2.1,0.5,2.0,2.3,3.0,2.3,2.2,4.4,150.4,14.0,79.0,5.6,3,1,1,True,False,False,False,4.0
66,4.1,2.1,1.6,0.4,0.8,2.8,3.5,2.0,1.6,4.1,124.1,15.5,71.0,6.0,4,1,1,False,False,False,False,4.0
43,4.7,3.6,0.0,0.5,1.4,3.7,3.6,1.0,0.9,1.4,218.3,19.5,67.0,4.3,6,1,1,True,False,False,True,4.0
29,6.0,4.5,0.0,0.2,1.3,4.5,4.0,0.8,0.3,0.0,133.7,13.9,55.0,1.3,10,1,1,False,False,False,False,4.0
57,6.7,3.4,2.0,0.8,1.2,3.8,3.5,1.2,2.0,2.8,192.8,26.7,62.0,3.6,6,0,0,True,False,False,True,4.0
22,8.6,2.4,3.4,1.4,1.1,4.5,3.8,1.0,0.7,1.4,191.4,9.2,51.0,1.2,9,0,0,True,False,False,True,3.0
35,5.9,4.1,1.8,0.0,0.4,3.8,3.9,1.9,1.2,1.9,110.3,21.4,62.0,3.1,6,0,1,True,False,True,False,4.0
53,7.3,2.5,2.2,0.9,2.4,4.5,3.8,1.2,0.9,0.0,266.6,13.5,45.0,1.4,10,1,1,True,False,False,True,4.0
72,4.2,1.2,0.5,1.2,2.3,0.3,1.1,2.3,2.6,5.1,162.0,19.6,77.0,9.1,1,0,1,False,False,False,True,4.0
33,5.6,2.0,2.6,0.3,1.4,2.6,3.2,1.6,1.4,3.6,148.0,21.4,78.0,7.7,4,1,0,True,False,True,False,4.0
37,8.1,2.7,2.6,1.4,2.7,4.5,3.9,1.4,1.0,0.0,150.9,14.3,49.0,1.0,10,1,0,False,False,True,False,3.0
25,6.2,2.7,0.7,0.6,2.0,4.5,4.2,0.8,1.9,0.0,130.4,9.4,45.0,1.0,10,1,0,True,False,True,False,3.0
25,3.6,1.0,2.1,0.0,0.3,3.3,3.9,1.6,1.7,5.9,176.7,22.1,67.0,5.2,5,1,0,True,False,False,True,5.0
